name;zipcode;total_employment;total_senior_employment
Montanges;01257;125,684242;4,0144237
Montceaux;01258;159,0133518;4
Montcet;01259;39,79199888;0
Le Montellier;01260;31,9952773;3,983606557
Monthieux;01261;119,2226927;0
Montluel;01262;3217,866512;479,3063958
Montmerle-sur-Saône;01263;921,8227479;39,93624961
Montracol;01264;102,9167153;0
Montréal-la-Cluse;01265;1952,491066;98,99825489
Montrevel-en-Bresse;01266;1249,932046;26,19904889
Nurieux-Volognat;01267;496,8368745;19,08487453
Murs-et-Gélignieux;01268;44,71389789;0
Nantua;01269;1399,299907;58,66690994
Nattages;01271;28,91456727;0
Neuville-les-Dames;01272;301,413127;3,974474329
Neuville-sur-Ain;01273;240,2861282;12,10650923
Les Neyrolles;01274;192,4974044;8,035303114
Neyron;01275;1041,110195;157,7742602
Niévroz;01276;252,5848582;20,81088318
Nivollet-Montgriffon;01277;18,1512605;0
Oncieu;01279;0;0
Ordonnaz;01280;30,90196078;0
Ornex;01281;555,4146947;53,23201931
Outriaz;01282;134,8111433;7,734573643
Oyonnax;01283;10923,98329;766,0822191
Ozan;01284;143,0886251;4,04617978
Parcieux;01285;159,2642056;23,61915588
Parves;01286;12,03333333;0
Péron;01288;369,7621887;9,180193305
Péronnas;01289;2613,808881;151,4472811
Pérouges;01290;280,1752155;28,07253344
Perrex;01291;161,0090725;14,91661297
Le Petit-Abergement;01292;85,15227215;0
Peyriat;01293;7,477023911;0
Peyrieu;01294;204,802008;4
Peyzieux-sur-Saône;01295;39,77024283;3,937555556
Pirajoux;01296;28,13165295;0
Pizay;01297;70,22613469;4,031007752
Plagne;01298;13,344;0
Le Plantay;01299;105,9649078;3,836940349
Le Poizat;01300;27,11111111;4
Polliat;01301;469,7633006;12,01133316
Pollieu;01302;8,890531733;0,992442561
Poncin;01303;749,8101893;52,84538223
Pont-d'Ain;01304;967,9971375;43,10880523
Pont-de-Vaux;01305;1447,350852;59,69166718
Pont-de-Veyle;01306;869,4795335;25,78909545
Port;01307;597,5223076;44,00154642
Pougny;01308;65,28492603;0
Pouillat;01309;3,913043478;0
Prémeyzel;01310;125,5185441;0
Prémillieu;01311;0;0
Pressiat;01312;36,16411726;0
Prévessin-Moëns;01313;1171,070445;107,2021121
Priay;01314;313,6550122;23,91142622
Pugieu;01316;24,34318016;0
Ramasse;01317;7,785382139;0
Rancé;01318;107,9625335;4,132453754
Relevant;01319;52,45943651;4,060085837
Replonges;01320;1140,30853;52,35843284
Revonnas;01321;56,7189708;3,640350877
Reyrieux;01322;2218,984157;159,5769877
Reyssouze;01323;91,10519692;0
Rignieux-le-Franc;01325;119,5371748;4
